GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048013	ephrin receptor signaling pathway	1.06937355166498e-21	1.06937355166498e-21	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0007411	axon guidance	3.01736576762049e-14	3.01736576762049e-14	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0097485	neuron projection guidance	3.3302277763898e-14	3.3302277763898e-14	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0007506	gonadal mesoderm development	9.8812753877475e-13	9.8812753877475e-13	+1	ENSG00000168757,ENSG00000228927,ENSG00000229549,ENSG00000233803,ENSG00000236424,ENSG00000258992
GO:0007409	axonogenesis	5.41697833730265e-11	5.41697833730265e-11	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0061564	axon development	1.77065203405424e-10	1.77065203405424e-10	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0048667	cell morphogenesis involved in neuron differentiation	1.19606587029768e-09	1.19606587029768e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0006935	chemotaxis	2.70689500193167e-09	2.70689500193167e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0042330	taxis	2.82180892555662e-09	2.82180892555662e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0048812	neuron projection morphogenesis	4.41929974670503e-09	4.41929974670503e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0120039	plasma membrane bounded cell projection morphogenesis	5.83243247237313e-09	5.83243247237313e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0048858	cell projection morphogenesis	6.30665454448995e-09	6.30665454448995e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0032990	cell part morphogenesis	9.25706657406549e-09	9.25706657406549e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1.70167624799831e-08	1.70167624799831e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0000904	cell morphogenesis involved in differentiation	2.64848161190151e-08	2.64848161190151e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0018108	peptidyl-tyrosine phosphorylation	4.43516705025893e-08	4.43516705025893e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0018212	peptidyl-tyrosine modification	4.83248073883632e-08	4.83248073883632e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0031175	neuron projection development	1.07044844334493e-06	1.07044844334493e-06	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0000902	cell morphogenesis	2.02796514530326e-06	2.02796514530326e-06	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
