GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048013	ephrin receptor signaling pathway	8.59051636419507e-26	8.59051636419507e-26	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0007411	axon guidance	2.74498190615006e-18	2.74498190615006e-18	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0097485	neuron projection guidance	3.03344748243863e-18	3.03344748243863e-18	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0007409	axonogenesis	5.60870426807075e-15	5.60870426807075e-15	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0061564	axon development	1.88577489121951e-14	1.88577489121951e-14	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0048667	cell morphogenesis involved in neuron differentiation	1.3410719579286e-13	1.3410719579286e-13	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0006935	chemotaxis	3.11035360216805e-13	3.11035360216805e-13	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0042330	taxis	3.24658337886207e-13	3.24658337886207e-13	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0048812	neuron projection morphogenesis	5.15730203738009e-13	5.15730203738009e-13	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0120039	plasma membrane bounded cell projection morphogenesis	6.86829024194737e-13	6.86829024194737e-13	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0048858	cell projection morphogenesis	7.44596938114713e-13	7.44596938114713e-13	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0032990	cell part morphogenesis	1.10717228735232e-12	1.10717228735232e-12	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	2.07923126822373e-12	2.07923126822373e-12	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0000904	cell morphogenesis involved in differentiation	3.28901520477051e-12	3.28901520477051e-12	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0018108	peptidyl-tyrosine phosphorylation	6.74806684864436e-11	6.74806684864436e-11	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0018212	peptidyl-tyrosine modification	7.36636035210304e-11	7.36636035210304e-11	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0031175	neuron projection development	1.5629942739728e-10	1.5629942739728e-10	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0000902	cell morphogenesis	3.0620828964335e-10	3.0620828964335e-10	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0007167	enzyme linked receptor protein signaling pathway	3.39249453511387e-10	3.39249453511387e-10	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0048666	neuron development	8.05220016616609e-10	8.05220016616609e-10	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0032989	cellular component morphogenesis	1.16048608068107e-09	1.16048608068107e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0030182	neuron differentiation	1.35006513155565e-08	1.35006513155565e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0033674	positive regulation of kinase activity	1.46533095386669e-08	1.46533095386669e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0043085	positive regulation of catalytic activity	2.31323465725605e-08	2.31323465725605e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000156103,NLRP1
GO:0120036	plasma membrane bounded cell projection organization	4.46924161647469e-08	4.46924161647469e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0051347	positive regulation of transferase activity	5.41014453539822e-08	5.41014453539822e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0048699	generation of neurons	6.05857275528939e-08	6.05857275528939e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0030030	cell projection organization	6.2701134505368e-08	6.2701134505368e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0022008	neurogenesis	1.44891464598619e-07	1.44891464598619e-07	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0006928	movement of cell or subcellular component	4.14601173265391e-07	4.14601173265391e-07	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0044093	positive regulation of molecular function	4.35054293796508e-07	4.35054293796508e-07	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000156103,NLRP1
GO:0050790	regulation of catalytic activity	9.44918357690993e-07	9.44918357690993e-07	+1	ENSG00000167393,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000156103,NLRP1
GO:0043549	regulation of kinase activity	1.02216830697454e-06	1.02216830697454e-06	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0040011	locomotion	1.61940314561459e-06	1.61940314561459e-06	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0051338	regulation of transferase activity	3.27985978589019e-06	3.27985978589019e-06	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0048468	cell development	5.89485662883758e-06	5.89485662883758e-06	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
